"regnames","temperature","relative_risk"
"York&Hum",20.8,1.09360786796136
"York&Hum",20.9,1.09899254216079
"York&Hum",21,1.10454842304757
"York&Hum",21.1,1.11027783563596
"York&Hum",21.2,1.11618318522883
"York&Hum",21.3,1.12226695909795
"York&Hum",21.4,1.12853172822697
"York&Hum",21.5,1.13498014911882
"York&Hum",21.6,1.14161496566915
"York&Hum",21.7,1.14843901110792
"York&Hum",21.8,1.15545521001073
"York&Hum",21.9,1.16266658038222
"York&Hum",22,1.17007623581334
"York&Hum",22.1,1.17768738771482
"York&Hum",22.2,1.18550334762898
"York&Hum",22.3,1.19352752962225
"York&Hum",22.4,1.20176345276077
"York&Hum",22.5,1.21021474367167
"York&Hum",22.6,1.21888513919244
"York&Hum",22.7,1.22777848911137
"York&Hum",22.8,1.23689875900154
"York&Hum",22.9,1.24625003315153
"York&Hum",23,1.25583651759575
"York&Hum",23.1,1.26566254324751
